benchmark,workload,run,latency,stages,cu_total,distribution
transport_rx,default,1,69,1,3,3
transport_rx,default,2,69,1,3,3
transport_rx,default,3,69,1,3,3
transport_rx,20mpps,1,34,1,6,6
transport_rx,20mpps,2,34,1,6,6
transport_rx,20mpps,3,34,1,6,6
transport_rx,40mpps,1,18,1,11,11
transport_rx,40mpps,2,18,1,11,11
transport_rx,40mpps,3,18,1,11,11
